objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"51st State: Master Set","192458","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130325","7.03359","7.55442","2.8939","453","9823","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"6: Siege – The Board Game","338067","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517410","5.64273","6.06248","3.4694","7445","1391","thing","6: Siege – The Board Game","2","4","60","60","60","2024","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Adrenaline","202408","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136103000","6.59577","6.98034","2.375","1081","9243","thing","Adrenaline","3","5","60","60","30","2016","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: Outcasts","299317","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130352","6.5127","8.48662","2.96","1250","4120","thing","Aeon's End: Outcasts","1","4","60","60","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: War Eternal","218417","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130345","7.46961","8.23317","2.9157","145","14413","thing","Aeon's End: War Eternal","1","4","60","60","60","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136102994","7.39866","7.63726","3.925","172","32761","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alone","181495","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517426","6.03142","7.49306","3.3125","2918","2968","thing","Alone","2","4","120","120","60","2019","2,3","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt","285967","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537032","7.28044","7.74628","3.1294","241","18883","thing","Ankh: Gods of Egypt","2","5","90","90","90","2021","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt – Guardians Set","308321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537044","6.04991","7.84745","3","0","6079","thing","Ankh: Gods of Egypt – Guardians Set","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ankh: Gods of Egypt – Pantheon","307807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537048","6.27322","8.23268","3","0","6800","thing","Ankh: Gods of Egypt – Pantheon","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apex Legends: The Board Game","380681","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136389078","5.61327","7.79935","3.4","8471","377","thing","Apex Legends: The Board Game","2","6","90","90","60","2025","2,4,5,6","4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130538","7.13731","7.58907","2.5335","352","16951","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest: Beyond the Grave","156089","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130550","6.3608","8.24724","2.6667","0","5663","thing","Arcadia Quest: Beyond the Grave","2","4","60","60","60","2015","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Arcadia Quest: Inferno","179803","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130558","6.64237","7.85163","2.4615","1001","7921","thing","Arcadia Quest: Inferno","2","4","120","120","60","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arena: The Contest","219217","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267095","6.08769","8.44154","2.8113","2653","2652","thing","Arena: The Contest","1","8","90","90","45","2019","1,2,3,4,6,8","2,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Revised Core Set","359609","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136328553","7.49497","8.60191","3.7707","133","11482","thing","Arkham Horror: The Card Game – Revised Core Set","1","4","180","180","45","2021","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Path to Carcosa: Expansion","225563","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136328576","6.96909","8.71976","3.5172","0","12505","thing","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ascension Tactics: Miniatures Deckbuilding Game","304531","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517480","6.19678","7.83529","2.5385","2194","2425","thing","Ascension Tactics: Miniatures Deckbuilding Game","1","4","90","90","45","2022","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles","222514","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130244","6.48369","7.6049","3.7734","1317","6724","thing","Batman: Gotham City Chronicles","2","4","90","90","60","2019","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles – Arkham Asylum Expansion","250665","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130280","5.66146","8.33044","4","0","2582","thing","Batman: Gotham City Chronicles – Arkham Asylum Expansion","2","4","90","90","60","2019","2,3,4","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles – Gotham City in Flames","377986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130319","0","8.32353","0","0","564","thing","Batman: Gotham City Chronicles – Gotham City in Flames","2","4","90","90","60","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles – Versus Expansion","248759","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130441","5.66412","8.00324","3","0","2710","thing","Batman: Gotham City Chronicles – Versus Expansion","2","4","90","90","60","2019","2,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles – Wayne Manor Expansion","248114","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130442","5.65125","8.22481","3","0","2543","thing","Batman: Gotham City Chronicles – Wayne Manor Expansion","2","4","90","90","60","2019","2,3,4","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Black Rose Wars: Sator Box","312230","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517071","5.87268","8.77644","3.3333","0","1901","thing","Black Rose Wars: Sator Box","1","6","180","180","90","2020","3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"burncycle","322656","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130379","6.39622","7.90413","4.055","1554","3623","thing","burncycle","1","4","180","180","45","2022","1,2,3","1,2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Drunagor: Age of Darkness – Dice Roller Dungeon Role","377108","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130236","0","8.83333","0","0","104","thing","Chronicles of Drunagor: Age of Darkness – Dice Roller Dungeon Role","1","5","0","0","0","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Clash of Cultures: Monumental Edition","299659","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130327","7.30346","8.27367","3.7243","232","8405","thing","Clash of Cultures: Monumental Edition","2","4","240","240","180","2021","2,3,4","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Claustrophobia 1643","257518","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130277","6.45336","7.9859","2.6923","1406","4065","thing","Claustrophobia 1643","2","2","90","90","45","2019","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cloudspire","262211","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537192","7.14118","8.16931","4.393","346","8235","thing","Cloudspire","1","4","180","180","90","2019","1,2,3,4","1,2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Company of Heroes: 2nd Edition","364356","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327528","5.68022","8.85723","3.2143","6526","355","thing","Company of Heroes: 2nd Edition","2","2","150","150","90","2025","1,2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Company of Heroes: British Faction Player Set","370366","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327553","0","8.4","0","0","108","thing","Company of Heroes: British Faction Player Set","2","3","0","0","0","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: Eastern Reinforcements Pack","292067","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327535","5.55049","8.36981","4","0","491","thing","Company of Heroes: Eastern Reinforcements Pack","2","4","90","90","60","2021","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: Lost Brigades","370177","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327550","0","9.85714","0","0","123","thing","Company of Heroes: Lost Brigades","0","0","0","0","0","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: OKW Faction Player Set","370367","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327557","0","8.875","0","0","105","thing","Company of Heroes: OKW Faction Player Set","2","3","0","0","0","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: Pathfinder Pack","292068","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327541","5.54624","8.24346","4","0","468","thing","Company of Heroes: Pathfinder Pack","2","4","90","90","60","2021","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: Soviet Faction Player Set","370365","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327551","0","9.125","0","0","104","thing","Company of Heroes: Soviet Faction Player Set","2","3","0","0","0","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: STUG Assault Pack","292069","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327545","5.53392","8.1525","0","0","443","thing","Company of Heroes: STUG Assault Pack","2","4","90","90","60","2021","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Company of Heroes: USA Faction Player Set","370368","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327562","0","7.875","0","0","61","thing","Company of Heroes: USA Faction Player Set","2","2","0","0","0","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Conan","160010","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130269","6.796","7.63091","2.7698","741","9659","thing","Conan","2","5","90","90","90","2016","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu Wars","139976","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327643","7.15448","7.84006","3.149","336","8295","thing","Cthulhu Wars","2","4","120","120","90","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dark Ages: Heritage of Charlemagne","295535","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130335","5.9649","7.7899","3.5312","3307","1433","thing","Dark Ages: Heritage of Charlemagne","1","4","180","180","120","2021","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dark Rituals: Malleus Maleficarum","256964","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267055","5.67072","7.79045","2.8889","6737","1063","thing","Dark Rituals: Malleus Maleficarum","2","5","90","90","60","2020","1,2,3,5","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dark Rituals: Malleus Maleficarum – Kickstarter Exclusive Stretch Goals","326113","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267083","0","8.09737","0","0","292","thing","Dark Rituals: Malleus Maleficarum – Kickstarter Exclusive Stretch Goals","2","5","90","90","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dark Rituals: Malleus Maleficarum – The Cursed Fjord","271224","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267087","5.53026","8.35758","0","0","547","thing","Dark Rituals: Malleus Maleficarum – The Cursed Fjord","2","5","90","90","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Deep Madness","202077","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517271","6.40227","7.8013","3.4556","1541","4991","thing","Deep Madness","1","6","120","120","60","2018","1,2,3,4,5,6","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327672","7.32658","7.6068","3.2146","216","41071","thing","Descent: Journeys in the Dark (Second Edition)","1","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – Crusade of the Forgotten","158496","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136361615","5.81888","8.05941","3","0","2651","thing","Descent: Journeys in the Dark (Second Edition) – Crusade of the Forgotten","2","5","120","120","120","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – Guardians of Deephall","162290","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136361617","5.78809","8.03338","3","0","2359","thing","Descent: Journeys in the Dark (Second Edition) – Guardians of Deephall","2","5","180","180","120","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – Lair of the Wyrm","129423","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","136361542","6.54791","7.89262","3.0625","0","9834","thing","Descent: Journeys in the Dark (Second Edition) – Lair of the Wyrm","2","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
